<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.09.01	01:00:00.120	1.98145	1.98339			6
2025.09.01	01:00:00.210	1.98162				2
2025.09.01	01:00:00.330	1.98139				2
2025.09.01	01:00:00.511	1.98138	1.98338			6
2025.09.01	01:00:00.691	1.98141	1.98341			6
2025.09.01	01:00:01.051	1.98168				2
2025.09.01	01:00:01.111		1.98329			4
2025.09.01	01:00:01.172	1.98149				2
2025.09.01	01:00:01.292	1.98168				2
2025.09.01	01:00:01.321		1.98332			4
2025.09.01	01:00:01.503		1.98335			4
2025.09.01	01:00:01.718		1.98341			4
2025.09.01	01:00:02.110	1.98160	1.98343			6
2025.09.01	01:00:02.421	1.98157	1.98331			6
2025.09.01	01:00:02.511	1.98160				2
2025.09.01	01:00:02.872	1.98149	1.98229			6
2025.09.01	01:00:02.902	1.98144				2
2025.09.01	01:00:03.082		1.98249			4
2025.09.01	01:00:03.113	1.98151				2
2025.09.01	01:00:03.172		1.98229			4
2025.09.01	01:00:03.324	1.98141				2
2025.09.01	01:00:03.533	1.98142				2
2025.09.01	01:00:03.744	1.98148				2
2025.09.01	01:00:04.043		1.98248			4
2025.09.01	01:00:04.135	1.98149				2
2025.09.01	01:00:04.347	1.98135				2
2025.09.01	01:00:04.529	1.98134				2
2025.09.01	01:00:04.678		1.98255			4
2025.09.01	01:00:04.737	1.98131				2
2025.09.01	01:00:04.798	1.98134				2
2025.09.01	01:00:05.343	1.98142				2
2025.09.01	01:00:05.372	1.98164				2
2025.09.01	01:00:05.791		1.98254			4
2025.09.01	01:00:05.912	1.98150				2
2025.09.01	01:00:06.003		1.98242			4
2025.09.01	01:00:06.122		1.98252			4
2025.09.01	01:00:06.183	1.98138				2
2025.09.01	01:00:06.573	1.98139				2
2025.09.01	01:00:06.602	1.98158	1.98262			6
2025.09.01	01:00:08.143	1.98142	1.98248			6
2025.09.01	01:00:08.384	1.98145				2
2025.09.01	01:00:08.804	1.98143				2
2025.09.01	01:00:09.082		1.98252			4
2025.09.01	01:00:09.201	1.98140				2
2025.09.01	01:00:09.381	1.98148				2
2025.09.01	01:00:10.041	1.98144				2
2025.09.01	01:00:10.163	1.98148				2
2025.09.01	01:00:13.429	1.98145	1.98345			6
2025.09.01	01:00:15.850	1.98142	1.98342			6
2025.09.01	01:00:16.060	1.98143	1.98343			6
2025.09.01	01:00:17.481	1.98148	1.98252			6
2025.09.01	01:00:17.963	1.98168	1.98262			6
2025.09.01	01:00:18.112	1.98159				2
2025.09.01	01:00:18.231	1.98158				2
2025.09.01	01:00:18.502		1.98252			4
2025.09.01	01:00:20.484		1.98268			4
2025.09.01	01:00:20.576	1.98149	1.98273			6
2025.09.01	01:00:20.696	1.98148	1.98262			6
2025.09.01	01:00:21.901		1.98272			4
2025.09.01	01:00:29.842	1.98149	1.98262			6
2025.09.01	01:00:29.967	1.98148				2
2025.09.01	01:00:30.160		1.98272			4
2025.09.01	01:00:30.315		1.98262			4
2025.09.01	01:00:30.586	1.98149				2
2025.09.01	01:00:30.767		1.98272			4
2025.09.01	01:00:31.038	1.98158				2
2025.09.01	01:00:34.153	1.98148				2
2025.09.01	01:00:34.279	1.98140	1.98262			6
2025.09.01	01:00:34.657	1.98138				2
2025.09.01	01:00:38.436	1.98148				2
2025.09.01	01:00:39.583	1.98149				2
2025.09.01	01:00:40.684	1.98158	1.98268			6
2025.09.01	01:00:40.774		1.98272			4
2025.09.01	01:00:41.588	1.98168				2
2025.09.01	01:00:42.640	1.98158				2
2025.09.01	01:00:43.099	1.98168				2
2025.09.01	01:00:44.341		1.98282			4
2025.09.01	01:00:44.462		1.98272			4
2025.09.01	01:00:47.658	1.98158				2
2025.09.01	01:00:49.799	1.98168				2
